Date,AAPL,AMZN,FB,GOOG,MSFT
2019-12-31,292.163818359375,1847.8399658203125,205.25,1337.02001953125,156.83363342285156
2020-01-02,298.8299560546875,1898.010009765625,209.77999877929688,1367.3699951171875,159.7375946044922
2020-01-03,295.9247131347656,1874.969970703125,208.6699981689453,1360.6600341796875,157.7485809326172
2020-01-06,298.28271484375,1902.8800048828125,212.60000610351562,1394.2099609375,158.15634155273438
2020-01-07,296.8798828125,1906.8599853515625,213.05999755859375,1393.3399658203125,156.7143096923828
2020-01-08,301.6555480957031,1891.969970703125,215.22000122070312,1404.3199462890625,159.2104949951172
2020-01-09,308.06298828125,1901.050048828125,218.3000030517578,1419.8299560546875,161.1995086669922
2020-01-10,308.7593994140625,1883.1600341796875,218.05999755859375,1429.72998046875,160.45364379882812
2020-01-13,315.3558654785156,1891.300048828125,221.91000366210938,1439.22998046875,162.3829803466797
2020-01-14,311.0975341796875,1869.43994140625,219.05999755859375,1430.8800048828125,161.2393035888672
2020-01-15,309.7643127441406,1862.02001953125,221.14999389648438,1439.199951171875,162.28353881835938
2020-01-16,313.6445617675781,1877.93994140625,221.77000427246094,1451.699951171875,165.25711059570312
2020-01-17,317.116943359375,1864.719970703125,222.13999938964844,1480.3900146484375,166.1820068359375
2020-01-21,314.9678649902344,1892.0,221.44000244140625,1484.4000244140625,165.58529663085938
2020-01-22,316.0921630859375,1887.4599609375,221.32000732421875,1485.949951171875,164.78968811035156
2020-01-23,317.6144104003906,1884.5799560546875,219.75999450683594,1486.6500244140625,165.80409240722656
2020-01-24,316.69903564453125,1861.6400146484375,217.94000244140625,1466.7099609375,164.13331604003906
2020-01-27,307.38641357421875,1828.3399658203125,214.8699951171875,1433.9000244140625,161.3884735107422
2020-01-28,316.0821838378906,1853.25,217.7899932861328,1452.56005859375,164.551025390625
2020-01-29,322.6985168457031,1858.0,223.22999572753906,1458.6300048828125,167.1168212890625
2020-01-30,322.23089599609375,1870.6800537109375,209.52999877929688,1455.8399658203125,171.83079528808594
2020-01-31,307.943603515625,2008.719970703125,201.91000366210938,1434.22998046875,169.2947998046875
2020-02-03,307.097900390625,2004.199951171875,204.19000244140625,1485.93994140625,173.42201232910156
2020-02-04,317.2362976074219,2049.669921875,209.8300018310547,1447.0699462890625,179.13047790527344
2020-02-05,319.82318115234375,2039.8699951171875,210.11000061035156,1448.22998046875,178.91168212890625
2020-02-06,323.5641174316406,2050.22998046875,210.85000610351562,1476.22998046875,182.62120056152344
2020-02-07,319.166015625,2079.280029296875,212.3300018310547,1479.22998046875,182.8797607421875
2020-02-10,320.6819152832031,2133.909912109375,213.05999755859375,1508.6800537109375,187.663330078125
2020-02-11,318.74713134765625,2150.800048828125,207.19000244140625,1508.7900390625,183.42674255371094
2020-02-12,326.3166809082031,2160.0,210.75999450683594,1518.27001953125,183.69525146484375
2020-02-13,323.9929504394531,2149.8701171875,213.13999938964844,1514.6600341796875,182.7007598876953
2020-02-14,324.07275390625,2134.8701171875,214.17999267578125,1520.739990234375,184.3317413330078
2020-02-18,318.1387939453125,2155.669921875,217.8000030517578,1519.6700439453125,186.201416015625
2020-02-19,322.746337890625,2170.219970703125,217.49000549316406,1526.68994140625,186.75985717773438
2020-02-20,319.4352722167969,2153.10009765625,214.5800018310547,1518.1500244140625,183.90780639648438
2020-02-21,312.2048645019531,2095.969970703125,210.17999267578125,1485.1099853515625,178.093994140625
2020-02-24,297.375,2009.2900390625,200.72000122070312,1421.5899658203125,170.41537475585938
2020-02-25,287.3022766113281,1972.739990234375,196.77000427246094,1388.449951171875,167.6032257080078
2020-02-26,291.85992431640625,1979.5899658203125,197.1999969482422,1393.1800537109375,169.69737243652344
2020-02-27,272.7815856933594,1884.300048828125,189.75,1318.0899658203125,157.7406768798828
2020-02-28,272.62200927734375,1883.75,192.47000122070312,1339.3299560546875,161.56004333496094
2020-03-02,298.0032958984375,1953.949951171875,196.44000244140625,1389.1099853515625,172.3101043701172
2020-03-03,288.5389404296875,1908.989990234375,185.88999938964844,1341.3900146484375,164.0531005859375
2020-03-04,301.9226989746094,1975.8299560546875,191.75999450683594,1386.52001953125,170.07632446289062
2020-03-05,292.12921142578125,1924.030029296875,185.1699981689453,1319.0400390625,165.80821228027344
2020-03-06,288.2497253417969,1901.0899658203125,181.08999633789062,1298.4100341796875,161.12127685546875
2020-03-09,265.4514465332031,1800.6099853515625,169.5,1215.56005859375,150.20167541503906
2020-03-10,284.5696716308594,1891.8199462890625,178.19000244140625,1280.3900146484375,160.4730682373047
2020-03-11,274.6864318847656,1820.8599853515625,170.24000549316406,1215.4100341796875,153.2033233642578
2020-03-12,247.5598602294922,1676.6099853515625,154.47000122070312,1114.9100341796875,138.6737823486328
2020-03-13,277.2195739746094,1785.0,170.27999877929688,1219.72998046875,158.3888702392578
2020-03-16,241.55612182617188,1689.1500244140625,146.00999450683594,1084.3299560546875,135.04388427734375
2020-03-17,252.1773681640625,1807.8399658203125,149.4199981689453,1119.800048828125,146.16293334960938
2020-03-18,246.0040740966797,1830.0,146.9600067138672,1096.800048828125,140.0100555419922
2020-03-19,244.11917114257812,1880.9300537109375,153.1300048828125,1115.2900390625,142.31365966796875
2020-03-20,228.6211395263672,1846.0899658203125,149.72999572753906,1072.3199462890625,136.96853637695312
2020-03-23,223.76426696777344,1902.8299560546875,148.10000610351562,1056.6199951171875,135.6023406982422
2020-03-24,246.21351623535156,1940.0999755859375,160.97999572753906,1134.4599609375,147.92800903320312
2020-03-25,244.857177734375,1885.8399658203125,156.2100067138672,1102.489990234375,146.51194763183594
